Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2010-04-12 18:30,Normal,0.72,14492,9999.48,434.76,4.35,0,434.76,4.35,-579.68,-5.80,434.76,4.35,22
1,Entry long,2010-04-07 17:30,Normal,0.69,14492,9999.48,434.76,4.35,0,434.76,4.35,-579.68,-5.80,434.76,4.35,22
2,Exit long,2010-05-07 15:30,Normal,0.5,17391,10434.6,-1739.1,-16.67,0,0,0.00,-1739.1,-16.67,-1304.34,-13.04,5
2,Entry long,2010-05-06 17:30,Normal,0.6,17391,10434.6,-1739.1,-16.67,0,0,0.00,-1739.1,-16.67,-1304.34,-13.04,5
3,Exit long,2010-06-09 15:30,Normal,0.47,19762,8695.28,592.86,6.82,0,592.86,6.82,-197.62,-2.27,-711.48,-7.11,4
3,Entry long,2010-06-08 17:30,Normal,0.44,19762,8695.28,592.86,6.82,0,592.86,6.82,-197.62,-2.27,-711.48,-7.11,4
4,Exit long,2010-06-23 18:30,Normal,0.57,16888,9288.4,337.76,3.64,0,337.76,3.64,0,0.00,-373.72,-3.74,1
4,Entry long,2010-06-23 17:30,Normal,0.55,16888,9288.4,337.76,3.64,0,337.76,3.64,0,0.00,-373.72,-3.74,1
5,Exit long,2010-06-28 16:30,Normal,0.53,19252,9626,577.56,6.00,0,577.56,6.00,0,0.00,203.84,2.04,4
5,Entry long,2010-06-25 18:30,Normal,0.5,19252,9626,577.56,6.00,0,577.56,6.00,0,0.00,203.84,2.04,4
6,Exit long,2010-07-01 15:30,Normal,0.41,22675,10203.75,-907,-8.89,0,226.75,2.22,-907,-8.89,-703.16,-7.03,6
6,Entry long,2010-06-30 15:30,Normal,0.45,22675,10203.75,-907,-8.89,0,226.75,2.22,-907,-8.89,-703.16,-7.03,6
7,Exit long,2010-07-19 18:30,Normal,0.52,18593,9296.5,371.86,4.00,0,371.86,4.00,0,0.00,-331.3,-3.31,3
7,Entry long,2010-07-19 15:30,Normal,0.5,18593,9296.5,371.86,4.00,0,371.86,4.00,0,0.00,-331.3,-3.31,3
8,Exit long,2010-07-29 20:30,Normal,0.52,19337,9668.5,386.74,4.00,0,386.74,4.00,0,0.00,55.44,0.55,1
8,Entry long,2010-07-29 19:30,Normal,0.5,19337,9668.5,386.74,4.00,0,386.74,4.00,0,0.00,55.44,0.55,1
9,Exit long,2010-08-02 15:30,Normal,0.51,20521,10055.29,410.42,4.08,0,410.42,4.08,-205.21,-2.04,465.86,4.66,6
9,Entry long,2010-07-30 16:30,Normal,0.49,20521,10055.29,410.42,4.08,0,410.42,4.08,-205.21,-2.04,465.86,4.66,6
10,Exit long,2010-08-27 15:30,Normal,0.34,28286,10465.82,-848.58,-8.11,0,282.86,2.70,-848.58,-8.11,-382.72,-3.83,19
10,Entry long,2010-08-24 17:30,Normal,0.37,28286,10465.82,-848.58,-8.11,0,282.86,2.70,-848.58,-8.11,-382.72,-3.83,19
